order_id,date,product,region,channel,segment,units,gross_sales_gbp,discount_gbp,revenue_gbp,cogs_gbp,gross_profit_gbp,revenue_target_gbp,year,month,quarter
ORD-000029,2026-03-07,Core,Germany,Partner,SMB,5,236.51,6.0,230.51,121.68,108.83,224.46,2026,2026-03,Q1
ORD-000030,2026-04-20,Plus,India,Online,SMB,1,68.81,3.56,65.25,33.28,31.97,60.99,2026,2026-04,Q2
ORD-000031,2025-03-22,Premium,UAE,Online,SMB,2,238.94,0.76,238.18,134.64,103.54,256.18,2025,2025-03,Q1
ORD-000032,2026-02-19,Plus,India,Partner,SMB,3,230.04,5.36,224.68,122.98,101.7,215.06,2026,2026-02,Q1
ORD-000033,2025-08-06,Core,US,Online,Enterprise,3,138.03,2.56,135.47,61.5,73.97,139.19,2025,2025-08,Q3
ORD-000034,2026-01-14,Core,Germany,Online,Enterprise,2,86.41,2.66,83.75,47.02,36.73,90.18,2026,2026-01,Q1
ORD-000035,2025-10-11,Plus,UK,Direct,Enterprise,7,571.54,5.48,566.06,290.83,275.23,578.03,2025,2025-10,Q4
ORD-000036,2025-12-02,Plus,UK,Direct,SMB,3,237.18,7.07,230.11,148.83,81.28,259.84,2025,2025-12,Q4
ORD-000037,2025-10-12,Core,US,Direct,SMB,6,279.62,19.9,259.72,161.71,98.01,237.41,2025,2025-10,Q4
ORD-000038,2025-12-21,Core,Germany,Direct,SMB,1,47.43,0.49,46.94,26.34,20.6,43.56,2025,2025-12,Q4
ORD-000039,2025-03-13,Enterprise,UK,Online,Mid-Market,1,260.01,3.79,256.22,127.05,129.17,248.11,2025,2025-03,Q1
ORD-000040,2026-02-12,Plus,India,Direct,Mid-Market,3,230.27,7.14,223.13,109.57,113.56,241.56,2026,2026-02,Q1
ORD-000041,2025-01-18,Plus,India,Online,Enterprise,2,143.39,7.57,135.82,89.51,46.31,136.4,2025,2025-01,Q1
ORD-000042,2025-05-25,Core,Germany,Online,Mid-Market,3,126.25,11.95,114.3,52.79,61.51,116.46,2025,2025-05,Q2
ORD-000043,2026-03-18,Premium,UK,Online,Enterprise,1,111.05,0.73,110.32,60.35,49.97,121.93,2026,2026-03,Q1
ORD-000044,2025-08-20,Enterprise,US,Online,Enterprise,2,523.81,29.86,493.95,296.04,197.91,526.6,2025,2025-08,Q3
ORD-000045,2026-04-26,Plus,India,Direct,Mid-Market,1,69.33,0.22,69.11,29.5,39.61,61.39,2026,2026-04,Q2
ORD-000046,2025-08-20,Core,UK,Partner,Mid-Market,2,83.25,8.0,75.25,42.83,32.42,69.63,2025,2025-08,Q3
ORD-000047,2025-04-11,Enterprise,UK,Online,Enterprise,1,227.68,6.1,221.58,114.1,107.48,196.69,2025,2025-04,Q2
ORD-000048,2025-07-28,Plus,UK,Direct,Enterprise,5,372.09,30.88,341.21,211.66,129.55,377.93,2025,2025-07,Q3
ORD-000049,2025-11-12,Plus,India,Online,Mid-Market,3,231.46,1.21,230.25,125.23,105.02,252.18,2025,2025-11,Q4
ORD-000050,2025-04-23,Premium,UK,Partner,Mid-Market,2,221.69,14.04,207.65,105.45,102.2,212.83,2025,2025-04,Q2
ORD-000051,2026-05-09,Premium,Germany,Online,SMB,4,478.19,17.38,460.81,224.82,235.99,463.53,2026,2026-05,Q2
ORD-000052,2026-05-23,Core,Germany,Online,Mid-Market,2,82.57,1.99,80.58,51.85,28.73,76.18,2026,2026-05,Q2
ORD-000053,2026-07-25,Core,US,Online,Mid-Market,3,138.35,1.0,137.35,64.42,72.93,121.84,2026,2026-07,Q3
ORD-000054,2026-06-11,Enterprise,US,Direct,SMB,3,685.62,58.7,626.92,335.36,291.56,595.31,2026,2026-06,Q2
ORD-000055,2025-07-21,Core,UAE,Partner,Enterprise,1,42.77,2.05,40.72,23.18,17.54,43.84,2025,2025-07,Q3
ORD-000056,2025-04-01,Core,UAE,Partner,SMB,6,257.7,22.53,235.17,148.16,87.01,260.06,2025,2025-04,Q2
ORD-000057,2025-10-07,Plus,US,Partner,Enterprise,3,210.33,17.25,193.08,91.89,101.19,181.25,2025,2025-10,Q4
ORD-000058,2026-04-16,Enterprise,UK,Online,Mid-Market,1,231.38,21.78,209.6,88.36,121.24,235.63,2026,2026-04,Q2
ORD-000059,2026-02-28,Enterprise,UK,Direct,Mid-Market,1,237.47,14.62,222.85,132.42,90.43,226.76,2026,2026-02,Q1
ORD-000060,2026-04-07,Enterprise,India,Partner,SMB,11,2898.85,334.88,2563.97,1204.53,1359.44,2900.65,2026,2026-04,Q2
ORD-000061,2025-01-28,Plus,UAE,Direct,Enterprise,1,77.3,0.35,76.95,50.79,26.16,68.15,2025,2025-01,Q1
ORD-000062,2026-03-25,Enterprise,UAE,Online,Mid-Market,2,465.49,2.46,463.03,305.59,157.44,466.81,2026,2026-03,Q1
ORD-000063,2025-06-28,Plus,US,Partner,Enterprise,1,67.73,7.91,59.82,36.87,22.95,54.03,2025,2025-06,Q2
ORD-000064,2026-01-29,Plus,India,Online,Mid-Market,1,76.61,0.99,75.62,37.36,38.26,78.54,2026,2026-01,Q1
ORD-000065,2025-01-05,Core,India,Partner,SMB,2,85.2,8.59,76.61,38.06,38.55,82.38,2025,2025-01,Q1
ORD-000066,2026-01-28,Premium,UAE,Online,SMB,1,129.02,9.95,119.07,79.24,39.83,123.48,2026,2026-01,Q1
ORD-000067,2026-02-27,Plus,UK,Direct,SMB,2,161.89,6.19,155.7,69.77,85.93,166.25,2026,2026-02,Q1
ORD-000068,2026-07-26,Plus,UK,Partner,SMB,2,138.68,3.51,135.17,89.36,45.81,119.51,2026,2026-07,Q3
ORD-000069,2025-10-30,Plus,Germany,Direct,Mid-Market,1,69.29,3.01,66.28,34.91,31.37,58.6,2025,2025-10,Q4
ORD-000070,2025-06-30,Plus,India,Partner,SMB,1,69.95,3.55,66.4,33.74,32.66,72.28,2025,2025-06,Q2
ORD-000071,2025-11-22,Plus,Germany,Online,Mid-Market,1,78.98,1.28,77.7,34.18,43.52,77.32,2025,2025-11,Q4
ORD-000072,2025-08-06,Enterprise,UAE,Online,Mid-Market,5,1137.01,82.24,1054.77,682.24,372.53,971.92,2025,2025-08,Q3
ORD-000073,2026-04-03,Plus,US,Direct,Mid-Market,2,159.8,0.94,158.86,92.13,66.73,152.81,2026,2026-04,Q2
ORD-000074,2025-10-27,Premium,India,Online,SMB,2,229.35,8.84,220.51,96.48,124.03,242.42,2025,2025-10,Q4
ORD-000075,2026-05-15,Plus,UK,Partner,Mid-Market,4,272.16,16.59,255.57,148.87,106.7,247.74,2026,2026-05,Q2
ORD-000076,2026-06-03,Plus,UAE,Direct,SMB,1,76.67,1.4,75.27,40.82,34.45,75.79,2026,2026-06,Q2
ORD-000077,2025-01-24,Plus,UK,Partner,Enterprise,6,439.18,12.29,426.89,183.86,243.03,479.57,2025,2025-01,Q1
ORD-000078,2026-02-03,Core,US,Direct,SMB,1,46.82,0.25,46.57,28.28,18.29,43.99,2026,2026-02,Q1
ORD-000079,2025-02-06,Premium,UK,Direct,SMB,2,224.63,15.28,209.35,124.9,84.45,188.7,2025,2025-02,Q1
ORD-000080,2025-08-22,Plus,UK,Direct,Enterprise,2,155.14,10.18,144.96,79.32,65.64,160.04,2025,2025-08,Q3
ORD-000081,2025-03-20,Enterprise,UK,Direct,Mid-Market,2,439.51,6.74,432.77,235.71,197.06,445.39,2025,2025-03,Q1
ORD-000082,2025-12-12,Core,US,Direct,Enterprise,1,48.06,4.34,43.72,20.61,23.11,43.42,2025,2025-12,Q4
ORD-000083,2026-03-05,Core,UK,Direct,Mid-Market,7,331.13,9.91,321.22,196.51,124.71,329.29,2026,2026-03,Q1
ORD-000084,2025-07-05,Core,India,Direct,SMB,1,46.33,2.47,43.86,19.44,24.42,40.0,2025,2025-07,Q3
ORD-000085,2025-07-06,Premium,Germany,Direct,Enterprise,7,856.48,44.91,811.57,481.07,330.5,908.05,2025,2025-07,Q3
ORD-000086,2026-07-22,Enterprise,US,Online,SMB,6,1339.63,30.15,1309.48,617.95,691.53,1386.06,2026,2026-07,Q3
ORD-000087,2025-03-03,Premium,India,Partner,Mid-Market,1,115.65,2.62,113.03,50.31,62.72,101.64,2025,2025-03,Q1
ORD-000088,2026-03-21,Core,India,Direct,Mid-Market,11,468.44,9.2,459.24,238.28,220.96,415.4,2026,2026-03,Q1
ORD-000089,2025-11-17,Premium,US,Direct,Enterprise,1,111.34,0.96,110.38,51.69,58.69,120.65,2025,2025-11,Q4
ORD-000090,2025-02-07,Core,India,Direct,SMB,5,245.52,19.11,226.41,102.24,124.17,199.37,2025,2025-02,Q1
ORD-000091,2026-02-19,Core,India,Online,Enterprise,2,87.91,0.92,86.99,55.32,31.67,95.66,2026,2026-02,Q1
ORD-000092,2026-06-07,Plus,US,Online,Enterprise,1,82.07,3.45,78.62,49.61,29.01,84.52,2026,2026-06,Q2
ORD-000093,2025-10-26,Premium,India,Direct,Mid-Market,6,717.25,16.5,700.75,455.67,245.08,704.82,2025,2025-10,Q4
ORD-000094,2025-11-08,Core,UK,Direct,SMB,1,48.6,0.5,48.1,23.12,24.98,44.92,2025,2025-11,Q4
ORD-000095,2025-04-24,Core,India,Partner,Mid-Market,2,94.6,2.48,92.12,61.7,30.42,87.98,2025,2025-04,Q2
ORD-000096,2026-06-19,Enterprise,UK,Direct,Mid-Market,4,971.11,11.24,959.87,404.77,555.1,905.87,2026,2026-06,Q2
ORD-000097,2025-10-26,Plus,US,Direct,Mid-Market,1,70.83,3.26,67.57,35.76,31.81,64.05,2025,2025-10,Q4
ORD-000098,2025-07-29,Premium,India,Online,SMB,1,114.82,2.89,111.93,61.51,50.42,118.55,2025,2025-07,Q3
ORD-000099,2025-04-10,Core,UK,Direct,SMB,4,194.01,12.18,181.83,101.83,80.0,205.26,2025,2025-04,Q2
ORD-000100,2025-06-20,Premium,UK,Direct,SMB,5,578.23,0.66,577.57,378.43,199.14,617.38,2025,2025-06,Q2
ORD-000101,2025-03-13,Premium,UK,Direct,SMB,2,260.86,4.24,256.62,137.41,119.21,230.75,2025,2025-03,Q1
ORD-000102,2025-12-22,Premium,UK,Direct,SMB,5,555.4,42.16,513.24,326.99,186.25,581.31,2025,2025-12,Q4
ORD-000103,2026-04-07,Plus,Germany,Direct,Mid-Market,1,73.69,4.4,69.29,30.45,38.84,76.33,2026,2026-04,Q2
ORD-000104,2026-02-27,Enterprise,India,Online,Enterprise,2,520.42,43.74,476.68,296.1,180.58,429.51,2026,2026-02,Q1
ORD-000105,2025-08-18,Plus,UAE,Online,Mid-Market,5,395.01,12.42,382.59,219.14,163.45,359.73,2025,2025-08,Q3
ORD-000106,2025-02-19,Premium,India,Partner,SMB,3,330.01,3.37,326.64,209.76,116.88,295.03,2025,2025-02,Q1
ORD-000107,2025-07-07,Core,UAE,Direct,SMB,1,42.41,1.45,40.96,20.51,20.45,41.74,2025,2025-07,Q3
ORD-000108,2025-07-30,Enterprise,US,Online,SMB,2,504.64,44.55,460.09,213.35,246.74,518.34,2025,2025-07,Q3
ORD-000109,2026-02-18,Enterprise,UAE,Partner,Mid-Market,2,527.97,2.92,525.05,294.86,230.19,561.47,2026,2026-02,Q1
ORD-000110,2026-07-30,Plus,UK,Direct,SMB,1,70.92,3.19,67.73,31.61,36.12,66.71,2026,2026-07,Q3
ORD-000111,2025-11-28,Core,India,Direct,Mid-Market,3,133.14,13.85,119.29,55.88,63.41,110.84,2025,2025-11,Q4
ORD-000112,2025-06-23,Plus,Germany,Online,Enterprise,2,160.36,1.31,159.05,68.6,90.45,165.54,2025,2025-06,Q2
ORD-000113,2025-02-22,Core,India,Online,SMB,3,124.45,4.54,119.91,67.62,52.29,124.11,2025,2025-02,Q1
ORD-000114,2025-11-18,Enterprise,India,Direct,Enterprise,3,690.2,62.55,627.65,324.28,303.37,573.49,2025,2025-11,Q4
ORD-000115,2026-04-07,Core,UK,Direct,SMB,3,125.18,14.22,110.96,55.11,55.85,105.78,2026,2026-04,Q2
ORD-000116,2025-08-05,Core,Germany,Online,Mid-Market,3,138.67,6.66,132.01,73.88,58.13,145.66,2025,2025-08,Q3
ORD-000117,2026-07-18,Plus,India,Direct,Mid-Market,1,74.04,0.94,73.1,44.13,28.97,70.22,2026,2026-07,Q3
ORD-000118,2026-04-20,Plus,India,Online,SMB,2,154.96,7.34,147.62,70.37,77.25,131.57,2026,2026-04,Q2
ORD-000119,2025-01-15,Plus,India,Online,SMB,1,68.54,1.03,67.51,31.01,36.5,71.56,2025,2025-01,Q1
ORD-000120,2025-10-06,Premium,India,Direct,SMB,1,114.27,2.33,111.94,55.64,56.3,124.88,2025,2025-10,Q4
ORD-000121,2026-05-21,Core,Germany,Direct,Mid-Market,4,166.91,5.59,161.32,97.25,64.07,163.89,2026,2026-05,Q2
ORD-000122,2025-12-17,Enterprise,US,Online,SMB,3,747.57,49.69,697.88,415.97,281.91,766.63,2025,2025-12,Q4
ORD-000123,2025-04-09,Plus,UAE,Direct,Enterprise,3,205.1,3.17,201.93,125.13,76.8,211.91,2025,2025-04,Q2
ORD-000124,2025-02-10,Core,US,Direct,SMB,2,87.11,0.29,86.82,48.88,37.94,86.34,2025,2025-02,Q1
ORD-000125,2026-05-11,Enterprise,UAE,Online,SMB,2,462.02,24.83,437.19,250.62,186.57,457.48,2026,2026-05,Q2
ORD-000126,2025-02-10,Core,India,Direct,Mid-Market,2,92.75,2.94,89.81,50.87,38.94,98.81,2025,2025-02,Q1
ORD-000127,2025-08-10,Plus,India,Direct,Mid-Market,2,154.95,11.6,143.35,89.76,53.59,140.84,2025,2025-08,Q3
ORD-000128,2025-06-17,Premium,UK,Direct,Enterprise,3,354.49,9.49,345.0,150.27,194.73,382.02,2025,2025-06,Q2
ORD-000129,2026-04-16,Core,Germany,Online,Mid-Market,1,48.83,0.27,48.56,23.53,25.03,48.15,2026,2026-04,Q2
ORD-000130,2025-06-12,Enterprise,India,Partner,Enterprise,5,1124.3,14.76,1109.54,628.88,480.66,1040.03,2025,2025-06,Q2
ORD-000131,2026-06-07,Core,UK,Direct,Enterprise,1,43.01,1.9,41.11,17.52,23.59,37.19,2026,2026-06,Q2
ORD-000132,2025-06-14,Core,UK,Online,Enterprise,2,85.07,3.65,81.42,38.91,42.51,87.36,2025,2025-06,Q2
ORD-000133,2026-05-20,Enterprise,UK,Direct,SMB,2,440.65,32.56,408.09,185.21,222.88,421.9,2026,2026-05,Q2
ORD-000134,2025-05-13,Core,UK,Online,Mid-Market,5,246.48,5.86,240.62,137.39,103.23,266.18,2025,2025-05,Q2
ORD-000135,2025-08-03,Core,US,Partner,SMB,1,44.36,2.72,41.64,20.66,20.98,39.13,2025,2025-08,Q3
ORD-000136,2025-12-25,Core,US,Direct,Mid-Market,4,167.85,6.93,160.92,104.34,56.58,165.47,2025,2025-12,Q4
ORD-000137,2025-11-27,Plus,US,Direct,Mid-Market,1,81.42,10.84,70.58,45.66,24.92,76.96,2025,2025-11,Q4
ORD-000138,2026-01-20,Enterprise,UK,Online,Mid-Market,2,522.84,24.63,498.21,252.88,245.33,482.99,2026,2026-01,Q1
ORD-000139,2025-03-19,Enterprise,India,Direct,Mid-Market,2,491.72,19.7,472.02,290.01,182.01,482.01,2025,2025-03,Q1
ORD-000140,2026-07-28,Enterprise,UK,Online,Mid-Market,2,436.47,15.85,420.62,253.63,166.99,435.17,2026,2026-07,Q3
ORD-000141,2025-10-16,Plus,India,Partner,SMB,2,163.29,0.91,162.38,95.47,66.91,165.99,2025,2025-10,Q4
ORD-000142,2025-09-23,Core,India,Partner,Enterprise,1,46.34,5.44,40.9,23.96,16.94,40.99,2025,2025-09,Q3
ORD-000143,2025-02-18,Core,India,Direct,Mid-Market,11,540.17,24.47,515.7,301.07,214.63,467.82,2025,2025-02,Q1
ORD-000144,2026-07-30,Premium,India,Direct,Mid-Market,3,373.79,12.96,360.83,161.91,198.92,360.21,2026,2026-07,Q3
ORD-000145,2025-05-17,Core,UAE,Online,SMB,4,163.31,3.19,160.12,84.06,76.06,153.2,2025,2025-05,Q2
ORD-000146,2025-08-12,Premium,India,Direct,SMB,4,443.1,14.0,429.1,267.24,161.86,483.39,2025,2025-08,Q3
ORD-000147,2025-04-15,Premium,US,Partner,SMB,3,360.49,39.34,321.15,177.61,143.54,339.03,2025,2025-04,Q2
ORD-000148,2025-05-11,Core,UK,Online,Mid-Market,4,164.48,0.27,164.21,70.96,93.25,147.5,2025,2025-05,Q2
ORD-000149,2025-12-23,Core,India,Direct,Mid-Market,5,244.71,0.76,243.95,132.24,111.71,250.56,2025,2025-12,Q4
ORD-000150,2025-06-25,Plus,Germany,Partner,Enterprise,3,212.57,6.81,205.76,120.6,85.16,217.63,2025,2025-06,Q2
ORD-000151,2026-03-06,Core,India,Direct,SMB,1,42.38,0.79,41.59,24.93,16.66,45.01,2026,2026-03,Q1
ORD-000152,2025-04-15,Plus,US,Direct,Enterprise,4,287.17,22.0,265.17,161.77,103.4,267.6,2025,2025-04,Q2
ORD-000153,2026-04-04,Plus,India,Partner,Enterprise,2,142.72,3.43,139.29,85.29,54.0,155.94,2026,2026-04,Q2
ORD-000154,2025-01-19,Plus,UK,Direct,SMB,1,80.62,3.08,77.54,47.85,29.69,71.02,2025,2025-01,Q1
ORD-000155,2026-01-15,Premium,UK,Online,Enterprise,1,125.37,1.6,123.77,57.37,66.4,123.75,2026,2026-01,Q1
ORD-000156,2026-05-23,Premium,UK,Direct,Enterprise,5,592.41,1.52,590.89,277.57,313.32,607.49,2026,2026-05,Q2
ORD-000157,2025-04-19,Premium,India,Direct,SMB,2,258.11,2.25,255.86,135.51,120.35,273.11,2025,2025-04,Q2
ORD-000158,2026-04-27,Premium,UAE,Direct,SMB,2,252.26,17.48,234.78,100.01,134.77,221.99,2026,2026-04,Q2
ORD-000159,2025-06-25,Plus,India,Partner,Mid-Market,1,82.13,1.75,80.38,45.18,35.2,86.6,2025,2025-06,Q2
ORD-000160,2026-05-29,Core,India,Online,Mid-Market,2,88.73,1.42,87.31,39.98,47.33,88.66,2026,2026-05,Q2
ORD-000161,2026-02-13,Plus,UK,Direct,Enterprise,6,433.73,13.15,420.58,249.73,170.85,408.37,2026,2026-02,Q1
ORD-000162,2025-03-28,Premium,Germany,Partner,Mid-Market,5,559.42,9.02,550.4,232.52,317.88,573.92,2025,2025-03,Q1
ORD-000163,2026-07-06,Core,India,Online,SMB,3,123.49,12.39,111.1,54.53,56.57,113.23,2026,2026-07,Q3
ORD-000164,2025-05-04,Plus,Germany,Online,SMB,3,212.7,7.27,205.43,108.25,97.18,204.11,2025,2025-05,Q2
ORD-000165,2025-10-13,Plus,US,Partner,SMB,1,71.08,6.16,64.92,43.05,21.87,65.38,2025,2025-10,Q4
ORD-000166,2025-05-11,Enterprise,India,Partner,SMB,4,990.35,3.18,987.17,512.68,474.49,1049.14,2025,2025-05,Q2
ORD-000167,2026-01-19,Core,UAE,Online,Enterprise,3,141.04,5.85,135.19,66.12,69.07,141.09,2026,2026-01,Q1
ORD-000168,2025-01-23,Premium,UAE,Online,Enterprise,1,118.81,3.46,115.35,69.97,45.38,111.66,2025,2025-01,Q1
ORD-000169,2026-06-24,Core,UK,Online,Enterprise,1,42.67,4.92,37.75,24.48,13.27,35.81,2026,2026-06,Q2
ORD-000170,2025-02-20,Core,India,Online,SMB,4,166.91,10.79,156.12,79.0,77.12,169.13,2025,2025-02,Q1
ORD-000171,2026-07-30,Premium,US,Online,SMB,5,554.93,22.73,532.2,260.85,271.35,522.92,2026,2026-07,Q3
ORD-000172,2026-05-02,Core,India,Direct,Enterprise,3,145.34,6.72,138.62,79.11,59.51,125.19,2026,2026-05,Q2
ORD-000173,2025-01-15,Plus,Germany,Direct,Mid-Market,4,275.42,3.56,271.86,139.72,132.14,266.15,2025,2025-01,Q1
ORD-000174,2025-06-10,Plus,UAE,Online,Enterprise,5,385.15,38.53,346.62,228.76,117.86,316.56,2025,2025-06,Q2
ORD-000175,2025-08-29,Premium,US,Direct,SMB,4,500.5,19.77,480.73,205.25,275.48,434.63,2025,2025-08,Q3
ORD-000176,2025-08-03,Plus,UAE,Partner,SMB,1,74.14,5.35,68.79,45.52,23.27,72.8,2025,2025-08,Q3
ORD-000177,2025-06-19,Core,UK,Online,Mid-Market,2,89.67,5.85,83.82,51.69,32.13,94.35,2025,2025-06,Q2
ORD-000178,2026-03-01,Plus,US,Direct,Enterprise,4,287.29,10.35,276.94,168.09,108.85,292.09,2026,2026-03,Q1
ORD-000179,2025-03-22,Premium,Germany,Direct,Mid-Market,1,114.03,2.11,111.92,71.71,40.21,111.76,2025,2025-03,Q1
ORD-000180,2025-07-29,Premium,UK,Partner,SMB,1,122.61,3.64,118.97,60.67,58.3,105.04,2025,2025-07,Q3
ORD-000181,2026-01-11,Plus,Germany,Online,SMB,6,434.41,22.78,411.63,235.69,175.94,459.77,2026,2026-01,Q1
ORD-000182,2025-07-24,Plus,India,Direct,SMB,2,145.05,9.64,135.41,62.37,73.04,127.11,2025,2025-07,Q3
ORD-000183,2026-05-19,Premium,India,Online,SMB,6,783.66,21.35,762.31,450.48,311.83,739.37,2026,2026-05,Q2
ORD-000184,2025-03-29,Premium,US,Online,SMB,1,123.01,2.06,120.95,78.55,42.4,129.41,2025,2025-03,Q1
ORD-000185,2026-04-25,Premium,UK,Online,SMB,2,229.95,12.79,217.16,123.41,93.75,211.41,2026,2026-04,Q2
ORD-000186,2026-05-26,Plus,India,Direct,SMB,2,161.8,3.19,158.61,79.82,78.79,170.63,2026,2026-05,Q2
ORD-000187,2026-04-28,Premium,UK,Direct,SMB,2,240.18,2.2,237.98,138.84,99.14,238.54,2026,2026-04,Q2
ORD-000188,2025-05-27,Plus,US,Direct,Mid-Market,1,72.26,0.98,71.28,32.23,39.05,63.63,2025,2025-05,Q2
ORD-000189,2025-05-11,Core,India,Direct,SMB,5,203.87,17.65,186.22,96.46,89.76,171.77,2025,2025-05,Q2
ORD-000190,2025-08-30,Plus,UK,Partner,SMB,3,210.71,8.57,202.14,117.56,84.58,178.21,2025,2025-08,Q3
ORD-000191,2026-01-02,Core,India,Direct,Enterprise,3,127.14,6.2,120.94,75.53,45.41,129.3,2026,2026-01,Q1
ORD-000192,2026-05-13,Plus,UK,Partner,SMB,1,78.94,0.54,78.4,33.83,44.57,73.73,2026,2026-05,Q2
ORD-000193,2026-07-15,Premium,UK,Partner,SMB,6,767.85,14.8,753.05,360.46,392.59,801.16,2026,2026-07,Q3
ORD-000194,2025-10-15,Premium,India,Partner,SMB,1,119.93,5.07,114.86,70.75,44.11,114.24,2025,2025-10,Q4
ORD-000195,2026-04-21,Premium,India,Online,SMB,4,471.29,36.93,434.36,195.12,239.24,428.12,2026,2026-04,Q2
ORD-000196,2026-06-10,Core,UAE,Partner,Mid-Market,4,182.44,12.77,169.67,96.4,73.27,155.25,2026,2026-06,Q2
ORD-000197,2025-05-16,Premium,UK,Direct,SMB,2,244.78,0.5,244.28,162.42,81.86,245.37,2025,2025-05,Q2
ORD-000198,2025-08-26,Plus,UAE,Direct,SMB,1,68.41,6.57,61.84,26.54,35.3,63.65,2025,2025-08,Q3
ORD-000199,2025-09-16,Premium,US,Direct,Mid-Market,3,324.1,18.05,306.05,150.94,155.11,345.48,2025,2025-09,Q3
ORD-000200,2025-12-09,Premium,US,Partner,SMB,2,260.49,4.62,255.87,144.2,111.67,272.76,2025,2025-12,Q4
ORD-000201,2025-11-06,Enterprise,India,Direct,Enterprise,2,473.47,35.38,438.09,273.18,164.91,478.82,2025,2025-11,Q4
ORD-000202,2025-03-22,Plus,India,Online,SMB,5,342.58,1.13,341.45,228.31,113.14,384.7,2025,2025-03,Q1
ORD-000203,2026-01-01,Premium,UK,Online,Mid-Market,6,716.59,8.42,708.17,310.65,397.52,767.34,2026,2026-01,Q1
