order_id,date_key,product_key,region_key,channel_key,segment_key,units,gross_sales_gbp,discount_gbp,revenue_gbp,cogs_gbp,gross_profit_gbp,revenue_target_gbp
ORD-000069,20251030,3,1,1,2,1,69.29,3.01,66.28,34.91,31.37,58.6
ORD-000070,20250630,3,2,3,3,1,69.95,3.55,66.4,33.74,32.66,72.28
ORD-000071,20251122,3,1,2,2,1,78.98,1.28,77.7,34.18,43.52,77.32
ORD-000072,20250806,2,3,2,2,5,1137.01,82.24,1054.77,682.24,372.53,971.92
ORD-000073,20260403,3,5,1,2,2,159.8,0.94,158.86,92.13,66.73,152.81
ORD-000074,20251027,4,2,2,3,2,229.35,8.84,220.51,96.48,124.03,242.42
ORD-000075,20260515,3,4,3,2,4,272.16,16.59,255.57,148.87,106.7,247.74
ORD-000076,20260603,3,3,1,3,1,76.67,1.4,75.27,40.82,34.45,75.79
ORD-000077,20250124,3,4,3,1,6,439.18,12.29,426.89,183.86,243.03,479.57
ORD-000078,20260203,1,5,1,3,1,46.82,0.25,46.57,28.28,18.29,43.99
ORD-000079,20250206,4,4,1,3,2,224.63,15.28,209.35,124.9,84.45,188.7
ORD-000080,20250822,3,4,1,1,2,155.14,10.18,144.96,79.32,65.64,160.04
ORD-000081,20250320,2,4,1,2,2,439.51,6.74,432.77,235.71,197.06,445.39
ORD-000082,20251212,1,5,1,1,1,48.06,4.34,43.72,20.61,23.11,43.42
ORD-000083,20260305,1,4,1,2,7,331.13,9.91,321.22,196.51,124.71,329.29
ORD-000084,20250705,1,2,1,3,1,46.33,2.47,43.86,19.44,24.42,40.0
ORD-000085,20250706,4,1,1,1,7,856.48,44.91,811.57,481.07,330.5,908.05
ORD-000086,20260722,2,5,2,3,6,1339.63,30.15,1309.48,617.95,691.53,1386.06
ORD-000087,20250303,4,2,3,2,1,115.65,2.62,113.03,50.31,62.72,101.64
ORD-000088,20260321,1,2,1,2,11,468.44,9.2,459.24,238.28,220.96,415.4
ORD-000089,20251117,4,5,1,1,1,111.34,0.96,110.38,51.69,58.69,120.65
ORD-000090,20250207,1,2,1,3,5,245.52,19.11,226.41,102.24,124.17,199.37
ORD-000091,20260219,1,2,2,1,2,87.91,0.92,86.99,55.32,31.67,95.66
ORD-000092,20260607,3,5,2,1,1,82.07,3.45,78.62,49.61,29.01,84.52
ORD-000093,20251026,4,2,1,2,6,717.25,16.5,700.75,455.67,245.08,704.82
ORD-000094,20251108,1,4,1,3,1,48.6,0.5,48.1,23.12,24.98,44.92
ORD-000095,20250424,1,2,3,2,2,94.6,2.48,92.12,61.7,30.42,87.98
ORD-000096,20260619,2,4,1,2,4,971.11,11.24,959.87,404.77,555.1,905.87
ORD-000097,20251026,3,5,1,2,1,70.83,3.26,67.57,35.76,31.81,64.05
ORD-000098,20250729,4,2,2,3,1,114.82,2.89,111.93,61.51,50.42,118.55
ORD-000099,20250410,1,4,1,3,4,194.01,12.18,181.83,101.83,80.0,205.26
ORD-000100,20250620,4,4,1,3,5,578.23,0.66,577.57,378.43,199.14,617.38
ORD-000101,20250313,4,4,1,3,2,260.86,4.24,256.62,137.41,119.21,230.75
ORD-000102,20251222,4,4,1,3,5,555.4,42.16,513.24,326.99,186.25,581.31
ORD-000103,20260407,3,1,1,2,1,73.69,4.4,69.29,30.45,38.84,76.33
ORD-000104,20260227,2,2,2,1,2,520.42,43.74,476.68,296.1,180.58,429.51
ORD-000105,20250818,3,3,2,2,5,395.01,12.42,382.59,219.14,163.45,359.73
ORD-000106,20250219,4,2,3,3,3,330.01,3.37,326.64,209.76,116.88,295.03
ORD-000107,20250707,1,3,1,3,1,42.41,1.45,40.96,20.51,20.45,41.74
ORD-000108,20250730,2,5,2,3,2,504.64,44.55,460.09,213.35,246.74,518.34
ORD-000109,20260218,2,3,3,2,2,527.97,2.92,525.05,294.86,230.19,561.47
ORD-000110,20260730,3,4,1,3,1,70.92,3.19,67.73,31.61,36.12,66.71
ORD-000111,20251128,1,2,1,2,3,133.14,13.85,119.29,55.88,63.41,110.84
ORD-000112,20250623,3,1,2,1,2,160.36,1.31,159.05,68.6,90.45,165.54
ORD-000113,20250222,1,2,2,3,3,124.45,4.54,119.91,67.62,52.29,124.11
ORD-000114,20251118,2,2,1,1,3,690.2,62.55,627.65,324.28,303.37,573.49
ORD-000115,20260407,1,4,1,3,3,125.18,14.22,110.96,55.11,55.85,105.78
ORD-000116,20250805,1,1,2,2,3,138.67,6.66,132.01,73.88,58.13,145.66
ORD-000117,20260718,3,2,1,2,1,74.04,0.94,73.1,44.13,28.97,70.22
ORD-000118,20260420,3,2,2,3,2,154.96,7.34,147.62,70.37,77.25,131.57
ORD-000119,20250115,3,2,2,3,1,68.54,1.03,67.51,31.01,36.5,71.56
ORD-000120,20251006,4,2,1,3,1,114.27,2.33,111.94,55.64,56.3,124.88
ORD-000121,20260521,1,1,1,2,4,166.91,5.59,161.32,97.25,64.07,163.89
ORD-000122,20251217,2,5,2,3,3,747.57,49.69,697.88,415.97,281.91,766.63
ORD-000123,20250409,3,3,1,1,3,205.1,3.17,201.93,125.13,76.8,211.91
ORD-000124,20250210,1,5,1,3,2,87.11,0.29,86.82,48.88,37.94,86.34
ORD-000125,20260511,2,3,2,3,2,462.02,24.83,437.19,250.62,186.57,457.48
ORD-000126,20250210,1,2,1,2,2,92.75,2.94,89.81,50.87,38.94,98.81
ORD-000127,20250810,3,2,1,2,2,154.95,11.6,143.35,89.76,53.59,140.84
ORD-000128,20250617,4,4,1,1,3,354.49,9.49,345.0,150.27,194.73,382.02
ORD-000129,20260416,1,1,2,2,1,48.83,0.27,48.56,23.53,25.03,48.15
ORD-000130,20250612,2,2,3,1,5,1124.3,14.76,1109.54,628.88,480.66,1040.03
ORD-000131,20260607,1,4,1,1,1,43.01,1.9,41.11,17.52,23.59,37.19
ORD-000132,20250614,1,4,2,1,2,85.07,3.65,81.42,38.91,42.51,87.36
ORD-000133,20260520,2,4,1,3,2,440.65,32.56,408.09,185.21,222.88,421.9
ORD-000134,20250513,1,4,2,2,5,246.48,5.86,240.62,137.39,103.23,266.18
ORD-000135,20250803,1,5,3,3,1,44.36,2.72,41.64,20.66,20.98,39.13
ORD-000136,20251225,1,5,1,2,4,167.85,6.93,160.92,104.34,56.58,165.47
ORD-000137,20251127,3,5,1,2,1,81.42,10.84,70.58,45.66,24.92,76.96
ORD-000138,20260120,2,4,2,2,2,522.84,24.63,498.21,252.88,245.33,482.99
ORD-000139,20250319,2,2,1,2,2,491.72,19.7,472.02,290.01,182.01,482.01
ORD-000140,20260728,2,4,2,2,2,436.47,15.85,420.62,253.63,166.99,435.17
ORD-000141,20251016,3,2,3,3,2,163.29,0.91,162.38,95.47,66.91,165.99
ORD-000142,20250923,1,2,3,1,1,46.34,5.44,40.9,23.96,16.94,40.99
ORD-000143,20250218,1,2,1,2,11,540.17,24.47,515.7,301.07,214.63,467.82
ORD-000144,20260730,4,2,1,2,3,373.79,12.96,360.83,161.91,198.92,360.21
ORD-000145,20250517,1,3,2,3,4,163.31,3.19,160.12,84.06,76.06,153.2
ORD-000146,20250812,4,2,1,3,4,443.1,14.0,429.1,267.24,161.86,483.39
ORD-000147,20250415,4,5,3,3,3,360.49,39.34,321.15,177.61,143.54,339.03
ORD-000148,20250511,1,4,2,2,4,164.48,0.27,164.21,70.96,93.25,147.5
ORD-000149,20251223,1,2,1,2,5,244.71,0.76,243.95,132.24,111.71,250.56
ORD-000150,20250625,3,1,3,1,3,212.57,6.81,205.76,120.6,85.16,217.63
ORD-000151,20260306,1,2,1,3,1,42.38,0.79,41.59,24.93,16.66,45.01
ORD-000152,20250415,3,5,1,1,4,287.17,22.0,265.17,161.77,103.4,267.6
ORD-000153,20260404,3,2,3,1,2,142.72,3.43,139.29,85.29,54.0,155.94
ORD-000154,20250119,3,4,1,3,1,80.62,3.08,77.54,47.85,29.69,71.02
ORD-000155,20260115,4,4,2,1,1,125.37,1.6,123.77,57.37,66.4,123.75
ORD-000156,20260523,4,4,1,1,5,592.41,1.52,590.89,277.57,313.32,607.49
ORD-000157,20250419,4,2,1,3,2,258.11,2.25,255.86,135.51,120.35,273.11
ORD-000158,20260427,4,3,1,3,2,252.26,17.48,234.78,100.01,134.77,221.99
ORD-000159,20250625,3,2,3,2,1,82.13,1.75,80.38,45.18,35.2,86.6
ORD-000160,20260529,1,2,2,2,2,88.73,1.42,87.31,39.98,47.33,88.66
ORD-000161,20260213,3,4,1,1,6,433.73,13.15,420.58,249.73,170.85,408.37
ORD-000162,20250328,4,1,3,2,5,559.42,9.02,550.4,232.52,317.88,573.92
ORD-000163,20260706,1,2,2,3,3,123.49,12.39,111.1,54.53,56.57,113.23
ORD-000164,20250504,3,1,2,3,3,212.7,7.27,205.43,108.25,97.18,204.11
ORD-000165,20251013,3,5,3,3,1,71.08,6.16,64.92,43.05,21.87,65.38
ORD-000166,20250511,2,2,3,3,4,990.35,3.18,987.17,512.68,474.49,1049.14
ORD-000167,20260119,1,3,2,1,3,141.04,5.85,135.19,66.12,69.07,141.09
ORD-000168,20250123,4,3,2,1,1,118.81,3.46,115.35,69.97,45.38,111.66
ORD-000169,20260624,1,4,2,1,1,42.67,4.92,37.75,24.48,13.27,35.81
ORD-000170,20250220,1,2,2,3,4,166.91,10.79,156.12,79.0,77.12,169.13
ORD-000171,20260730,4,5,2,3,5,554.93,22.73,532.2,260.85,271.35,522.92
ORD-000172,20260502,1,2,1,1,3,145.34,6.72,138.62,79.11,59.51,125.19
ORD-000173,20250115,3,1,1,2,4,275.42,3.56,271.86,139.72,132.14,266.15
ORD-000174,20250610,3,3,2,1,5,385.15,38.53,346.62,228.76,117.86,316.56
ORD-000175,20250829,4,5,1,3,4,500.5,19.77,480.73,205.25,275.48,434.63
ORD-000176,20250803,3,3,3,3,1,74.14,5.35,68.79,45.52,23.27,72.8
ORD-000177,20250619,1,4,2,2,2,89.67,5.85,83.82,51.69,32.13,94.35
ORD-000178,20260301,3,5,1,1,4,287.29,10.35,276.94,168.09,108.85,292.09
ORD-000179,20250322,4,1,1,2,1,114.03,2.11,111.92,71.71,40.21,111.76
ORD-000180,20250729,4,4,3,3,1,122.61,3.64,118.97,60.67,58.3,105.04
ORD-000181,20260111,3,1,2,3,6,434.41,22.78,411.63,235.69,175.94,459.77
ORD-000182,20250724,3,2,1,3,2,145.05,9.64,135.41,62.37,73.04,127.11
ORD-000183,20260519,4,2,2,3,6,783.66,21.35,762.31,450.48,311.83,739.37
ORD-000184,20250329,4,5,2,3,1,123.01,2.06,120.95,78.55,42.4,129.41
ORD-000185,20260425,4,4,2,3,2,229.95,12.79,217.16,123.41,93.75,211.41
ORD-000186,20260526,3,2,1,3,2,161.8,3.19,158.61,79.82,78.79,170.63
ORD-000187,20260428,4,4,1,3,2,240.18,2.2,237.98,138.84,99.14,238.54
ORD-000188,20250527,3,5,1,2,1,72.26,0.98,71.28,32.23,39.05,63.63
ORD-000189,20250511,1,2,1,3,5,203.87,17.65,186.22,96.46,89.76,171.77
ORD-000190,20250830,3,4,3,3,3,210.71,8.57,202.14,117.56,84.58,178.21
ORD-000191,20260102,1,2,1,1,3,127.14,6.2,120.94,75.53,45.41,129.3
ORD-000192,20260513,3,4,3,3,1,78.94,0.54,78.4,33.83,44.57,73.73
ORD-000193,20260715,4,4,3,3,6,767.85,14.8,753.05,360.46,392.59,801.16
ORD-000194,20251015,4,2,3,3,1,119.93,5.07,114.86,70.75,44.11,114.24
ORD-000195,20260421,4,2,2,3,4,471.29,36.93,434.36,195.12,239.24,428.12
ORD-000196,20260610,1,3,3,2,4,182.44,12.77,169.67,96.4,73.27,155.25
ORD-000197,20250516,4,4,1,3,2,244.78,0.5,244.28,162.42,81.86,245.37
ORD-000198,20250826,3,3,1,3,1,68.41,6.57,61.84,26.54,35.3,63.65
ORD-000199,20250916,4,5,1,2,3,324.1,18.05,306.05,150.94,155.11,345.48
ORD-000200,20251209,4,5,3,3,2,260.49,4.62,255.87,144.2,111.67,272.76
ORD-000201,20251106,2,2,1,1,2,473.47,35.38,438.09,273.18,164.91,478.82
ORD-000202,20250322,3,2,2,3,5,342.58,1.13,341.45,228.31,113.14,384.7
ORD-000203,20260101,4,4,2,2,6,716.59,8.42,708.17,310.65,397.52,767.34
ORD-000204,20260620,1,5,1,2,3,122.81,3.49,119.32,63.67,55.65,124.95
ORD-000205,20250306,3,1,1,2,1,81.19,0.13,81.06,43.0,38.06,81.77
ORD-000206,20250305,1,3,2,3,2,81.81,1.57,80.24,39.39,40.85,76.56
ORD-000207,20251022,1,4,2,2,1,44.51,2.46,42.05,25.15,16.9,38.15
ORD-000208,20260430,4,2,1,2,5,610.16,14.75,595.41,344.97,250.44,672.76
ORD-000209,20250106,3,2,1,3,4,305.68,12.31,293.37,170.82,122.55,321.78
ORD-000210,20260124,2,3,1,3,3,754.8,1.04,753.76,482.36,271.4,841.41
ORD-000211,20250216,4,5,1,1,2,217.49,8.49,209.0,98.74,110.26,210.49
ORD-000212,20250304,3,2,1,2,5,359.23,40.45,318.78,155.8,162.98,356.62
ORD-000213,20250829,4,1,3,3,6,776.57,67.13,709.44,317.8,391.64,709.91
ORD-000214,20260207,2,4,2,1,5,1114.63,29.21,1085.42,665.16,420.26,1171.5
ORD-000215,20260418,1,5,1,2,1,43.15,0.43,42.72,23.74,18.98,45.2
ORD-000216,20260302,3,2,1,1,4,292.79,1.45,291.34,180.72,110.62,276.91
ORD-000217,20260512,1,4,2,2,1,43.62,3.15,40.47,20.4,20.07,45.58
ORD-000218,20250122,4,1,2,2,1,108.19,6.39,101.8,52.31,49.49,102.93
ORD-000219,20250121,1,2,2,3,2,81.63,8.72,72.91,38.91,34.0,68.9
ORD-000220,20250716,1,2,2,3,4,172.03,1.18,170.85,99.62,71.23,153.71
ORD-000221,20250401,4,3,1,3,3,328.46,64.88,263.58,170.56,93.02,268.14
ORD-000222,20250209,2,2,3,3,3,691.48,18.67,672.81,293.33,379.48,687.5
ORD-000223,20250317,3,4,1,3,1,79.86,2.95,76.91,34.86,42.05,80.97
ORD-000224,20260305,1,5,2,1,7,325.61,41.54,284.07,140.71,143.36,272.68
ORD-000225,20260604,1,1,3,2,2,81.72,4.84,76.88,45.06,31.82,84.2
ORD-000226,20250205,4,5,1,3,5,625.58,58.23,567.35,250.75,316.6,604.37
ORD-000227,20260428,4,4,3,2,6,697.33,19.74,677.59,424.17,253.42,723.01
ORD-000228,20260307,4,4,3,3,1,118.59,6.03,112.56,47.7,64.86,108.11
ORD-000229,20250623,1,5,2,3,3,123.23,1.45,121.78,74.61,47.17,129.28
ORD-000230,20260528,3,4,2,1,5,390.42,5.69,384.73,244.79,139.94,383.12
ORD-000231,20260719,2,3,1,3,2,497.59,9.86,487.73,235.35,252.38,483.98
ORD-000232,20250202,1,1,2,2,1,42.72,1.61,41.11,20.95,20.16,44.33
ORD-000233,20250721,3,4,1,3,1,76.15,1.4,74.75,40.82,33.93,74.75
ORD-000234,20250917,2,5,1,1,3,688.71,25.1,663.61,355.74,307.87,698.86
ORD-000235,20250323,4,5,1,3,1,125.06,18.07,106.99,63.51,43.48,112.76
ORD-000236,20250714,2,5,3,2,2,445.17,6.8,438.37,226.64,211.73,401.02
ORD-000237,20260607,1,1,2,3,1,41.41,0.62,40.79,22.5,18.29,46.19
ORD-000238,20260304,2,4,2,2,3,705.61,23.95,681.66,388.1,293.56,718.15
ORD-000239,20250102,4,1,3,2,1,114.23,5.05,109.18,62.58,46.6,106.44
ORD-000240,20250203,1,5,2,3,3,126.37,3.85,122.52,80.38,42.14,109.31
ORD-000241,20260705,4,2,1,2,2,228.91,16.01,212.9,97.12,115.78,225.4
ORD-000242,20250718,1,4,1,1,3,140.87,3.4,137.47,79.32,58.15,140.25
ORD-000243,20260629,3,2,2,1,1,80.01,2.51,77.5,40.18,37.32,74.56
ORD-000244,20251202,4,4,1,2,2,235.08,1.57,233.51,101.9,131.61,247.0
ORD-000245,20260129,3,4,2,1,1,71.66,3.1,68.56,44.37,24.19,65.62
ORD-000246,20260107,4,2,2,3,6,668.54,39.48,629.06,389.79,239.27,580.04
ORD-000247,20250123,2,4,1,2,4,991.86,55.14,936.72,539.63,397.09,969.56
ORD-000248,20251223,1,2,1,3,5,236.95,23.81,213.14,140.63,72.51,219.36
ORD-000249,20260318,3,4,1,1,3,241.98,1.8,240.18,148.12,92.06,270.8
ORD-000250,20250702,1,3,2,3,1,43.77,0.46,43.31,27.13,16.18,43.68
ORD-000251,20250208,1,1,2,2,1,41.03,2.74,38.29,21.74,16.55,35.18
ORD-000252,20260607,1,2,2,3,6,258.27,16.54,241.73,153.47,88.26,241.49
ORD-000253,20250730,3,4,1,3,5,388.99,26.6,362.39,232.13,130.26,403.38
ORD-000254,20260704,4,4,1,3,1,116.55,7.12,109.43,61.52,47.91,98.0
ORD-000255,20250216,4,3,3,1,1,115.84,15.47,100.37,46.1,54.27,102.15
ORD-000256,20251026,2,5,1,3,3,673.17,9.32,663.85,285.97,377.88,659.39
ORD-000257,20251208,1,5,1,3,6,282.92,14.42,268.5,130.09,138.41,278.55
ORD-000258,20251018,4,4,1,3,1,131.34,3.16,128.18,75.26,52.92,124.27
ORD-000259,20260504,2,2,1,1,3,785.82,71.69,714.13,450.45,263.68,749.1
ORD-000260,20251025,1,4,2,3,1,46.13,3.11,43.02,23.14,19.88,41.98
ORD-000261,20260620,2,2,1,3,1,235.12,1.95,233.17,99.88,133.29,261.16
ORD-000262,20260125,1,1,1,2,8,347.73,1.0,346.73,182.66,164.07,323.55
ORD-000263,20250222,2,2,3,3,7,1613.78,138.62,1475.16,860.03,615.13,1457.63
ORD-000264,20250402,3,3,2,3,3,206.78,9.62,197.16,129.17,67.99,206.67
ORD-000265,20251009,2,4,3,1,3,761.49,22.02,739.47,411.02,328.45,708.41
ORD-000266,20251022,3,3,1,2,1,72.09,3.07,69.02,34.9,34.12,70.62
ORD-000267,20260518,3,2,1,2,4,287.32,8.94,278.38,119.34,159.04,284.89
ORD-000268,20250122,4,5,2,3,4,455.41,6.25,449.16,266.57,182.59,444.35
ORD-000269,20260308,4,2,2,3,1,131.05,0.97,130.08,81.89,48.19,130.85
ORD-000270,20250909,3,3,1,1,3,216.1,14.21,201.89,116.23,85.66,193.33
ORD-000271,20250413,4,3,2,3,2,231.24,0.54,230.7,134.37,96.33,261.49
ORD-000272,20250611,4,4,1,3,4,463.27,36.23,427.04,226.96,200.08,395.15
ORD-000273,20250315,3,4,1,2,5,383.03,10.63,372.4,156.52,215.88,401.8
ORD-000274,20260317,4,5,1,3,2,254.6,12.9,241.7,122.81,118.89,230.7
ORD-000275,20251109,3,4,1,1,4,319.17,4.57,314.6,186.69,127.91,294.24
ORD-000276,20260327,4,5,2,2,1,119.54,1.0,118.54,50.09,68.45,118.7
ORD-000277,20250120,1,4,1,1,4,183.0,19.99,163.01,72.48,90.53,170.81
ORD-000278,20250525,2,4,2,3,4,1015.98,76.7,939.28,523.15,416.13,930.36
ORD-000279,20251110,4,5,1,3,3,359.79,19.44,340.35,220.05,120.3,385.0
ORD-000280,20250723,4,3,2,2,2,221.7,18.84,202.86,128.22,74.64,191.31
ORD-000281,20251221,2,3,1,3,2,522.23,24.7,497.53,297.64,199.89,549.95
ORD-000282,20260208,3,2,3,2,2,138.29,2.81,135.48,84.87,50.61,123.28
ORD-000283,20251102,3,4,1,3,3,222.7,7.79,214.91,113.17,101.74,233.38
ORD-000284,20260114,2,4,2,1,5,1106.1,23.57,1082.53,466.31,616.22,1025.41
ORD-000285,20250725,1,2,1,2,1,42.81,0.86,41.95,18.51,23.44,41.78
ORD-000286,20251222,2,5,3,2,2,507.83,14.88,492.95,292.5,200.45,438.07
ORD-000287,20251013,1,4,2,2,3,138.13,7.42,130.71,81.18,49.53,120.12
ORD-000288,20260726,3,1,3,2,2,135.54,3.89,131.65,83.12,48.53,138.1
ORD-000289,20260210,4,4,3,1,1,111.38,2.0,109.38,49.64,59.74,121.69
ORD-000290,20250807,1,4,2,3,1,42.2,0.64,41.56,22.17,19.39,42.31
ORD-000291,20250417,4,1,3,3,4,465.89,7.09,458.8,304.24,154.56,466.68
ORD-000292,20250924,4,4,1,3,3,364.37,20.0,344.37,191.75,152.62,371.16
ORD-000293,20260729,1,2,1,2,3,124.42,5.09,119.33,72.4,46.93,127.53
ORD-000294,20260529,3,4,2,2,4,274.15,1.1,273.05,127.46,145.59,300.48
ORD-000295,20250819,4,5,1,2,3,387.54,46.01,341.53,189.94,151.59,319.46
ORD-000296,20251108,4,4,2,1,2,227.24,14.4,212.84,134.41,78.43,214.07
ORD-000297,20250126,3,2,2,3,2,151.89,6.52,145.37,81.25,64.12,146.16
ORD-000298,20251119,1,4,1,3,3,124.31,12.66,111.65,49.67,61.98,101.42
ORD-000299,20260131,1,2,2,2,3,147.5,2.88,144.62,79.38,65.24,146.15
ORD-000300,20251229,1,4,3,1,2,85.76,3.04,82.72,42.93,39.79,90.96
ORD-000301,20250518,4,4,2,3,2,234.93,7.94,226.99,105.88,121.11,254.44
ORD-000302,20250224,4,2,2,1,1,131.8,17.46,114.34,70.17,44.17,117.19
ORD-000303,20250501,2,1,2,1,3,710.57,32.86,677.71,321.06,356.65,624.16
ORD-000304,20250430,1,2,2,1,1,47.36,1.6,45.76,26.97,18.79,41.2
ORD-000305,20250302,3,4,1,3,2,162.65,24.49,138.16,76.04,62.12,131.0
ORD-000306,20250516,3,4,3,2,10,752.29,23.24,729.05,325.4,403.65,672.6
